"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"2013"	"2013"	"Atherosclerotic heart disease"	"I25.1"	165029	316128839	52.2	6.4%
	"2013"	"2013"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	155381	316128839	49.2	6.0%
	"2013"	"2013"	"Unspecified dementia"	"F03"	129215	316128839	40.9	5.0%
	"2013"	"2013"	"Acute myocardial infarction, unspecified"	"I21.9"	116644	316128839	36.9	4.5%
	"2013"	"2013"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	107614	316128839	34.0	4.1%
	"2013"	"2013"	"Alzheimer's disease, unspecified"	"G30.9"	82348	316128839	26.0	3.2%
	"2013"	"2013"	"Stroke, not specified as haemorrhage or infarction"	"I64"	65713	316128839	20.8	2.5%
	"2013"	"2013"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	59475	316128839	18.8	2.3%
	"2013"	"2013"	"Congestive heart failure"	"I50.0"	57808	316128839	18.3	2.2%
	"2013"	"2013"	"Pneumonia, unspecified"	"J18.9"	47075	316128839	14.9	1.8%
	"2013"	"2013"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	41313	316128839	13.1	1.6%
	"2013"	"2013"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	39970	316128839	12.6	1.5%
	"2013"	"2013"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	38777	316128839	12.3	1.5%
	"2013"	"2013"	"Septicaemia, unspecified"	"A41.9"	35388	316128839	11.2	1.4%
	"2013"	"2013"	"Unspecified diabetes mellitus, without complications"	"E14.9"	29876	316128839	9.5	1.2%
	"2013"	"2013"	"Malignant neoplasm of prostate"	"C61"	27682	316128839	8.8	1.1%
	"2013"	"2013"	"Malignant neoplasm without specification of site"	"C80"	25695	316128839	8.1	1.0%
	"2013"	"2013"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	25191	316128839	8.0	1.0%
	"2013"	"2013"	"Parkinson's disease"	"G20"	25016	316128839	7.9	1.0%
	"2013"	"2013"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	22337	316128839	7.1	0.9%
	"2013"	"2013"	"Atrial fibrillation and flutter"	"I48"	20738	316128839	6.6	0.8%
	"2013"	"2013"	"Essential (primary) hypertension"	"I10"	19964	316128839	6.3	0.8%
	"2013"	"2013"	"Pneumonitis due to food and vomit"	"J69.0"	18573	316128839	5.9	0.7%
	"2013"	"2013"	"Other and unspecified cirrhosis of liver"	"K74.6"	17664	316128839	5.6	0.7%
	"2013"	"2013"	"Cardiomyopathy, unspecified"	"I42.9"	17555	316128839	5.6	0.7%
	"2013"	"2013"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17256	316128839	5.5	0.7%
	"2013"	"2013"	"Chronic kidney disease, stage 5"	"N18.5"	16683	316128839	5.3	0.6%
	"2013"	"2013"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	15723	316128839	5.0	0.6%
	"2013"	"2013"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15241	316128839	4.8	0.6%
	"2013"	"2013"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	14702	316128839	4.7	0.6%
	"2013"	"2013"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	14600	316128839	4.6	0.6%
	"2013"	"2013"	"Aortic (valve) stenosis"	"I35.0"	14524	316128839	4.6	0.6%
	"2013"	"2013"	"Unspecified fall"	"W19"	14421	316128839	4.6	0.6%
	"2013"	"2013"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	14279	316128839	4.5	0.5%
	"2013"	"2013"	"Malignant neoplasm of ovary"	"C56"	14276	316128839	4.5	0.5%
	"2013"	"2013"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	13720	316128839	4.3	0.5%
	"2013"	"2013"	"Cardiac arrest, unspecified"	"I46.9"	13635	316128839	4.3	0.5%
	"2013"	"2013"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	13491	316128839	4.3	0.5%
	"2013"	"2013"	"Intracerebral haemorrhage, unspecified"	"I61.9"	13483	316128839	4.3	0.5%
	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	12762	316128839	4.0	0.5%
	"2013"	"2013"	"Alcoholic cirrhosis of liver"	"K70.3"	12544	316128839	4.0	0.5%
	"2013"	"2013"	"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms"	"C85.9"	12363	316128839	3.9	0.5%
	"2013"	"2013"	"Unspecified renal failure"	"N19"	12112	316128839	3.8	0.5%
	"2013"	"2013"	"Vascular dementia, unspecified"	"F01.9"	11988	316128839	3.8	0.5%
	"2013"	"2013"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	11953	316128839	3.8	0.5%
	"2013"	"2013"	"Ischaemic cardiomyopathy"	"I25.5"	11800	316128839	3.7	0.5%
	"2013"	"2013"	"Other ill-defined and unspecified causes of mortality"	"R99"	11737	316128839	3.7	0.5%
	"2013"	"2013"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	11705	316128839	3.7	0.5%
	"2013"	"2013"	"Urinary tract infection, site not specified"	"N39.0"	11254	316128839	3.6	0.4%
	"2013"	"2013"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	11246	316128839	3.6	0.4%
